Algorithm,Topology,Graph Type,Degree,Run #,Time (s),Qubits,Maxchain Size,Fail/No Fail
Busclique,Chimera,Complete,12,3,0.003811,4,48,0
Busclique,Chimera,Complete,13,0,0.006124,5,65,0
Busclique,Chimera,Complete,13,1,0.004368,5,65,0
Busclique,Chimera,Complete,13,2,0.004445,5,65,0
Busclique,Chimera,Complete,13,3,0.004024,5,65,0
Busclique,Chimera,Complete,14,0,0.006664,5,70,0
Busclique,Chimera,Complete,14,1,0.003881,5,70,0
Busclique,Chimera,Complete,14,2,0.003882,5,70,0
Busclique,Chimera,Complete,14,3,0.003814,5,70,0
Busclique,Chimera,Complete,15,0,0.007101,5,75,0
Busclique,Chimera,Complete,15,1,0.00377,5,75,0
Busclique,Chimera,Complete,15,2,0.003765,5,75,0
Busclique,Chimera,Complete,15,3,0.003739,5,75,0
Busclique,Chimera,Complete,16,0,0.007187,5,80,0
Busclique,Chimera,Complete,16,1,0.003755,5,80,0
Busclique,Chimera,Complete,16,2,0.003913,5,80,0
Busclique,Chimera,Complete,16,3,0.0038,5,80,0
Busclique,Chimera,Complete,17,0,0.007461,6,102,0
Busclique,Chimera,Complete,17,1,0.004173,6,102,0
Busclique,Chimera,Complete,17,2,0.004812,6,102,0
Busclique,Chimera,Complete,17,3,0.003677,6,102,0
Busclique,Chimera,Complete,18,0,0.007052,6,108,0
Busclique,Chimera,Complete,18,1,0.0039,6,108,0
Busclique,Chimera,Complete,18,2,0.003766,6,108,0
Busclique,Chimera,Complete,18,3,0.003943,6,108,0
Busclique,Chimera,Complete,19,0,0.006971,6,114,0
Busclique,Chimera,Complete,19,1,0.003721,6,114,0
Busclique,Chimera,Complete,19,2,0.003768,6,114,0
Busclique,Chimera,Complete,19,3,0.003736,6,114,0
Busclique,Chimera,Complete,20,0,0.007249,6,120,0
Busclique,Chimera,Complete,20,1,0.003764,6,120,0
Busclique,Chimera,Complete,20,2,0.003733,6,120,0
Busclique,Chimera,Complete,20,3,0.003836,6,120,0
Busclique,Chimera,Complete,21,0,0.007491,7,147,0
Busclique,Chimera,Complete,21,1,0.003718,7,147,0
Busclique,Chimera,Complete,21,2,0.003971,7,147,0
Busclique,Chimera,Complete,21,3,0.004192,7,147,0
Busclique,Chimera,Complete,22,0,0.007209,7,154,0
Busclique,Chimera,Complete,22,1,0.003892,7,154,0
Busclique,Chimera,Complete,22,2,0.00375,7,154,0
Busclique,Chimera,Complete,22,3,0.00376,7,154,0
Busclique,Chimera,Complete,23,0,0.007292,7,161,0
Busclique,Chimera,Complete,23,1,0.003492,7,161,0
Busclique,Chimera,Complete,23,2,0.004539,7,161,0
Busclique,Chimera,Complete,23,3,0.003457,7,161,0
Busclique,Chimera,Complete,24,0,0.004826,7,168,0
Busclique,Chimera,Complete,24,1,0.003737,7,168,0
Busclique,Chimera,Complete,24,2,0.00346,7,168,0
Busclique,Chimera,Complete,24,3,0.003764,7,168,0
Busclique,Chimera,Complete,25,0,0.006197,8,200,0
Busclique,Chimera,Complete,25,1,0.004838,8,200,0
Busclique,Chimera,Complete,25,2,0.003472,8,200,0
Busclique,Chimera,Complete,25,3,0.004459,8,200,0
Busclique,Chimera,Complete,26,0,0.004586,8,208,0
Busclique,Chimera,Complete,26,1,0.003597,8,208,0
Busclique,Chimera,Complete,26,2,0.004231,8,208,0
Busclique,Chimera,Complete,26,3,0.004118,8,208,0
Busclique,Chimera,Complete,27,0,0.004424,8,216,0
Busclique,Chimera,Complete,27,1,0.003446,8,216,0
Busclique,Chimera,Complete,27,2,0.004423,8,216,0
Busclique,Chimera,Complete,27,3,0.003591,8,216,0
Busclique,Chimera,Complete,28,0,0.004395,8,224,0
Busclique,Chimera,Complete,28,1,0.003454,8,224,0
Busclique,Chimera,Complete,28,2,0.004225,8,224,0
Busclique,Chimera,Complete,28,3,0.003452,8,224,0
Busclique,Chimera,Complete,29,0,0.004768,9,261,0
Busclique,Chimera,Complete,29,1,0.004813,9,261,0
Busclique,Chimera,Complete,29,2,0.003461,9,261,0
Busclique,Chimera,Complete,29,3,0.003724,9,261,0
Busclique,Chimera,Complete,30,0,0.003943,9,270,0
Busclique,Chimera,Complete,30,1,0.003457,9,270,0
Busclique,Chimera,Complete,30,2,0.003489,9,270,0
Busclique,Chimera,Complete,30,3,0.003961,9,270,0
Busclique,Chimera,Complete,31,0,0.005356,9,279,0
Busclique,Chimera,Complete,31,1,0.004132,9,279,0
Busclique,Chimera,Complete,31,2,0.003462,9,279,0
Busclique,Chimera,Complete,31,3,0.003457,9,279,0
Busclique,Chimera,Complete,32,0,0.004261,9,288,0
Busclique,Chimera,Complete,32,1,0.004224,9,288,0
Busclique,Chimera,Complete,32,2,0.003491,9,288,0
Busclique,Chimera,Complete,32,3,0.004001,9,288,0
Busclique,Chimera,Complete,33,0,0.005041,10,330,0
Busclique,Chimera,Complete,33,1,0.00396,10,330,0
Busclique,Chimera,Complete,33,2,0.003732,10,330,0
Busclique,Chimera,Complete,33,3,0.003461,10,330,0
Busclique,Chimera,Complete,34,0,0.003997,10,340,0
Busclique,Chimera,Complete,34,1,0.003481,10,340,0
Busclique,Chimera,Complete,34,2,0.003531,10,340,0
Busclique,Chimera,Complete,34,3,0.003463,10,340,0
Busclique,Chimera,Complete,35,0,0.004339,10,350,0
Busclique,Chimera,Complete,35,1,0.007108,10,350,0
Busclique,Chimera,Complete,35,2,0.004157,10,350,0
Busclique,Chimera,Complete,35,3,0.003532,10,350,0
Busclique,Chimera,Complete,36,0,0.004809,10,360,0
Busclique,Chimera,Complete,36,1,0.00346,10,360,0
Busclique,Chimera,Complete,36,2,0.003458,10,360,0
Busclique,Chimera,Complete,36,3,0.00345,10,360,0
Busclique,Chimera,Complete,37,0,0.004256,11,407,0
Busclique,Chimera,Complete,37,1,0.00347,11,407,0
Busclique,Chimera,Complete,37,2,0.00355,11,407,0
Busclique,Chimera,Complete,37,3,0.003497,11,407,0
Busclique,Chimera,Complete,38,0,0.004558,11,418,0
Busclique,Chimera,Complete,38,1,0.003523,11,418,0
Busclique,Chimera,Complete,38,2,0.003487,11,418,0
Busclique,Chimera,Complete,38,3,0.004558,11,418,0
Busclique,Chimera,Complete,39,0,0.004835,11,429,0
Busclique,Chimera,Complete,39,1,0.003475,11,429,0
Busclique,Chimera,Complete,39,2,0.004317,11,429,0
Busclique,Chimera,Complete,39,3,0.003499,11,429,0
Busclique,Chimera,Complete,40,0,0.004073,11,440,0
Busclique,Chimera,Complete,40,1,0.003912,11,440,0
Busclique,Chimera,Complete,40,2,0.003466,11,440,0
Busclique,Chimera,Complete,40,3,0.00424,11,440,0
Busclique,Chimera,Complete,41,0,0.00405,12,492,0
Busclique,Chimera,Complete,41,1,0.004133,12,492,0
Busclique,Chimera,Complete,41,2,0.003491,12,492,0
Busclique,Chimera,Complete,41,3,0.003473,12,492,0
Busclique,Chimera,Complete,42,0,0.004157,12,504,0
Busclique,Chimera,Complete,42,1,0.003454,12,504,0
Busclique,Chimera,Complete,42,2,0.003731,12,504,0
Busclique,Chimera,Complete,42,3,0.00346,12,504,0
Busclique,Chimera,Complete,43,0,0.004931,12,516,0
Busclique,Chimera,Complete,43,1,0.004015,12,516,0
Busclique,Chimera,Complete,43,2,0.004022,12,516,0
Busclique,Chimera,Complete,43,3,0.003836,12,516,0
Busclique,Chimera,Complete,44,0,0.004401,12,528,0
Busclique,Chimera,Complete,44,1,0.003479,12,528,0
Busclique,Chimera,Complete,44,2,0.004114,12,528,0
Busclique,Chimera,Complete,44,3,0.004111,12,528,0
Busclique,Chimera,Complete,45,0,0.004804,13,585,0
Busclique,Chimera,Complete,45,1,0.003499,13,585,0
Busclique,Chimera,Complete,45,2,0.003791,13,585,0
Busclique,Chimera,Complete,45,3,0.003787,13,585,0
Busclique,Chimera,Complete,46,0,0.004224,13,598,0
Busclique,Chimera,Complete,46,1,0.004496,13,598,0
Busclique,Chimera,Complete,46,2,0.003466,13,598,0
Busclique,Chimera,Complete,46,3,0.003483,13,598,0
Busclique,Chimera,Complete,47,0,0.005243,13,611,0
Busclique,Chimera,Complete,47,1,0.003575,13,611,0
Busclique,Chimera,Complete,47,2,0.003484,13,611,0
Busclique,Chimera,Complete,47,3,0.003502,13,611,0
Busclique,Chimera,Complete,48,0,0.003939,13,624,0
Busclique,Chimera,Complete,48,1,0.003472,13,624,0
Busclique,Chimera,Complete,48,2,0.004509,13,624,0
Busclique,Chimera,Complete,48,3,0.003472,13,624,0
Busclique,Chimera,Complete,49,0,0.004736,14,686,0
Busclique,Chimera,Complete,49,1,0.003479,14,686,0
Busclique,Chimera,Complete,49,2,0.004295,14,686,0
Busclique,Chimera,Complete,49,3,0.004504,14,686,0
Busclique,Chimera,Complete,50,0,0.004175,14,700,0
Busclique,Chimera,Complete,50,1,0.003463,14,700,0
Busclique,Chimera,Complete,50,2,0.003482,14,700,0
Busclique,Chimera,Complete,50,3,0.003808,14,700,0
Busclique,Chimera,Complete,51,0,0.004265,14,714,0
Busclique,Chimera,Complete,51,1,0.003722,14,714,0
Busclique,Chimera,Complete,51,2,0.003476,14,714,0
Busclique,Chimera,Complete,51,3,0.003445,14,714,0
Busclique,Chimera,Complete,52,0,0.00532,14,728,0
Busclique,Chimera,Complete,52,1,0.004479,14,728,0
Busclique,Chimera,Complete,52,2,0.003473,14,728,0
Busclique,Chimera,Complete,52,3,0.003508,14,728,0
Busclique,Chimera,Complete,53,0,0.004077,15,795,0
Busclique,Chimera,Complete,53,1,0.003454,15,795,0
Busclique,Chimera,Complete,53,2,0.004624,15,795,0
Busclique,Chimera,Complete,53,3,0.003463,15,795,0
Busclique,Chimera,Complete,54,0,0.003479,15,810,0
Busclique,Chimera,Complete,54,1,0.003967,15,810,0
Busclique,Chimera,Complete,54,2,0.004236,15,810,0
Busclique,Chimera,Complete,54,3,0.0035,15,810,0
Busclique,Chimera,Complete,55,0,0.004111,15,825,0
Busclique,Chimera,Complete,55,1,0.003455,15,825,0
Busclique,Chimera,Complete,55,2,0.003875,15,825,0
Busclique,Chimera,Complete,55,3,0.003478,15,825,0
Busclique,Chimera,Complete,56,0,0.005161,15,840,0
Busclique,Chimera,Complete,56,1,0.003616,15,840,0
Busclique,Chimera,Complete,56,2,0.003677,15,840,0
Busclique,Chimera,Complete,56,3,0.003838,15,840,0
Busclique,Chimera,Complete,57,0,0.004372,16,912,0
Busclique,Chimera,Complete,57,1,0.003496,16,912,0
Busclique,Chimera,Complete,57,2,0.003476,16,912,0
Busclique,Chimera,Complete,57,3,0.003461,16,912,0
Busclique,Chimera,Complete,58,0,0.00498,16,928,0
Busclique,Chimera,Complete,58,1,0.004165,16,928,0
Busclique,Chimera,Complete,58,2,0.003462,16,928,0
Busclique,Chimera,Complete,58,3,0.003453,16,928,0
Busclique,Chimera,Complete,59,0,0.004347,16,944,0
Busclique,Chimera,Complete,59,1,0.003522,16,944,0
Busclique,Chimera,Complete,59,2,0.004354,16,944,0
Busclique,Chimera,Complete,59,3,0.003481,16,944,0
Busclique,Chimera,Complete,60,0,0.004043,16,960,0
Busclique,Chimera,Complete,60,1,0.003997,16,960,0
Busclique,Chimera,Complete,60,2,0.003796,16,960,0
Busclique,Chimera,Complete,60,3,0.0036,16,960,0
Busclique,Pegasus,Complete,0,0,0.051561,0,0,1
Busclique,Pegasus,Complete,0,1,0.055259,0,0,1
Busclique,Pegasus,Complete,0,2,0.05937,0,0,1
Busclique,Pegasus,Complete,0,3,0.050201,0,0,1
Busclique,Pegasus,Complete,1,0,0.049981,1,1,0
Busclique,Pegasus,Complete,1,1,0.045518,1,1,0
Busclique,Pegasus,Complete,1,2,0.051137,1,1,0
Busclique,Pegasus,Complete,1,3,0.054219,1,1,0
Busclique,Pegasus,Complete,2,0,0.068855,1,2,0
Busclique,Pegasus,Complete,2,1,0.058396,1,2,0
Busclique,Pegasus,Complete,2,2,0.052397,1,2,0
Busclique,Pegasus,Complete,2,3,0.055525,1,2,0
Busclique,Pegasus,Complete,3,0,0.050213,1,3,0
Busclique,Pegasus,Complete,3,1,0.053837,1,3,0
Busclique,Pegasus,Complete,3,2,0.052602,1,3,0
Busclique,Pegasus,Complete,3,3,0.056515,1,3,0
Busclique,Pegasus,Complete,4,0,0.062364,1,4,0
Busclique,Pegasus,Complete,4,1,0.055875,1,4,0
Busclique,Pegasus,Complete,4,2,0.055131,1,4,0
Busclique,Pegasus,Complete,4,3,0.055051,1,4,0
Busclique,Pegasus,Complete,5,0,0.052916,2,10,0
Busclique,Pegasus,Complete,5,1,0.05042,2,10,0
Busclique,Pegasus,Complete,5,2,0.048649,2,10,0
Busclique,Pegasus,Complete,5,3,0.047892,2,10,0
Busclique,Pegasus,Complete,6,0,0.050512,2,12,0
Busclique,Pegasus,Complete,6,1,0.05177,2,12,0
Busclique,Pegasus,Complete,6,2,0.054939,2,12,0
Busclique,Pegasus,Complete,6,3,0.054438,2,12,0
Busclique,Pegasus,Complete,7,0,0.04848,2,14,0
Busclique,Pegasus,Complete,7,1,0.051096,2,14,0
Busclique,Pegasus,Complete,7,2,0.073419,2,14,0
Busclique,Pegasus,Complete,7,3,0.054661,2,14,0
Busclique,Pegasus,Complete,8,0,0.054872,2,16,0
Busclique,Pegasus,Complete,8,1,0.056739,2,16,0
Busclique,Pegasus,Complete,8,2,0.048513,2,16,0
Busclique,Pegasus,Complete,8,3,0.050714,2,16,0
Busclique,Pegasus,Complete,9,0,0.052357,2,18,0
Busclique,Pegasus,Complete,9,1,0.053396,2,18,0
Busclique,Pegasus,Complete,9,2,0.059381,2,18,0
Busclique,Pegasus,Complete,9,3,0.059483,2,18,0
Busclique,Pegasus,Complete,10,0,0.055921,2,20,0
Busclique,Pegasus,Complete,10,1,0.054021,2,20,0
Busclique,Pegasus,Complete,10,2,0.053312,2,20,0
Busclique,Pegasus,Complete,10,3,0.055241,2,20,0
Busclique,Pegasus,Complete,11,0,0.058201,3,33,0
Busclique,Pegasus,Complete,11,1,0.053356,3,33,0
Busclique,Pegasus,Complete,11,2,0.055275,3,33,0
Busclique,Pegasus,Complete,11,3,0.05515,3,33,0
Busclique,Pegasus,Complete,12,0,0.058176,3,36,0
Busclique,Pegasus,Complete,12,1,0.04745,3,36,0
Busclique,Pegasus,Complete,12,2,0.048101,3,36,0
Busclique,Pegasus,Complete,12,3,0.052569,3,36,0
Busclique,Pegasus,Complete,13,0,0.055074,3,39,0
Busclique,Pegasus,Complete,13,1,0.056149,3,39,0
Busclique,Pegasus,Complete,13,2,0.058346,3,39,0
Busclique,Pegasus,Complete,13,3,0.056119,3,39,0
Busclique,Pegasus,Complete,14,0,0.060395,3,42,0
Busclique,Pegasus,Complete,14,1,0.055063,3,42,0
Busclique,Pegasus,Complete,14,2,0.04719,3,42,0
Busclique,Pegasus,Complete,14,3,0.052183,3,42,0
Busclique,Pegasus,Complete,15,0,0.055095,3,45,0
Busclique,Pegasus,Complete,15,1,0.050212,3,45,0
Busclique,Pegasus,Complete,15,2,0.047183,3,45,0
Busclique,Pegasus,Complete,15,3,0.05097,3,45,0
Busclique,Pegasus,Complete,16,0,0.053058,3,48,0
Busclique,Pegasus,Complete,16,1,0.047891,3,48,0
Busclique,Pegasus,Complete,16,2,0.052392,3,48,0
Busclique,Pegasus,Complete,16,3,0.054414,3,48,0
Busclique,Pegasus,Complete,17,0,0.058383,3,51,0
Busclique,Pegasus,Complete,17,1,0.050509,3,51,0
Busclique,Pegasus,Complete,17,2,0.049026,3,51,0
Busclique,Pegasus,Complete,17,3,0.051066,3,51,0
Busclique,Pegasus,Complete,18,0,0.05302,3,54,0
Busclique,Pegasus,Complete,18,1,0.047137,3,54,0
Busclique,Pegasus,Complete,18,2,0.046339,3,54,0
Busclique,Pegasus,Complete,18,3,0.051854,3,54,0
Busclique,Pegasus,Complete,19,0,0.051494,3,57,0
Busclique,Pegasus,Complete,19,1,0.04511,3,57,0
Busclique,Pegasus,Complete,19,2,0.05097,3,57,0
Busclique,Pegasus,Complete,19,3,0.049815,3,57,0
Busclique,Pegasus,Complete,20,0,0.049825,3,60,0
Busclique,Pegasus,Complete,20,1,0.047233,3,60,0
Busclique,Pegasus,Complete,20,2,0.047445,3,60,0
Busclique,Pegasus,Complete,20,3,0.050179,3,60,0
Busclique,Pegasus,Complete,21,0,0.053891,4,80,0
Busclique,Pegasus,Complete,21,1,0.051525,4,80,0
Busclique,Pegasus,Complete,21,2,0.053327,4,80,0
Busclique,Pegasus,Complete,21,3,0.049264,4,80,0
Busclique,Pegasus,Complete,22,0,0.054366,4,84,0
Busclique,Pegasus,Complete,22,1,0.046618,4,84,0
Busclique,Pegasus,Complete,22,2,0.047315,4,84,0
Busclique,Pegasus,Complete,22,3,0.051429,4,84,0
Busclique,Pegasus,Complete,23,0,0.0498,4,87,0
Busclique,Pegasus,Complete,23,1,0.045293,4,87,0
Busclique,Pegasus,Complete,23,2,0.045665,4,87,0
Busclique,Pegasus,Complete,23,3,0.045373,4,87,0
Busclique,Pegasus,Complete,24,0,0.046201,4,90,0
Busclique,Pegasus,Complete,24,1,0.042622,4,90,0
Busclique,Pegasus,Complete,24,2,0.050374,4,90,0
Busclique,Pegasus,Complete,24,3,0.051935,4,90,0
Busclique,Pegasus,Complete,25,0,0.079611,4,94,0
Busclique,Pegasus,Complete,25,1,0.04463,4,94,0
Busclique,Pegasus,Complete,25,2,0.047549,4,94,0
Busclique,Pegasus,Complete,25,3,0.051545,4,94,0
Busclique,Pegasus,Complete,26,0,0.04539,4,98,0
Busclique,Pegasus,Complete,26,1,0.052397,4,98,0
Busclique,Pegasus,Complete,26,2,0.047003,4,98,0
Busclique,Pegasus,Complete,26,3,0.049091,4,98,0
Busclique,Pegasus,Complete,27,0,0.048902,4,102,0
Busclique,Pegasus,Complete,27,1,0.052153,4,102,0
Busclique,Pegasus,Complete,27,2,0.048826,4,102,0
Busclique,Pegasus,Complete,27,3,0.049122,4,102,0
Busclique,Pegasus,Complete,28,0,0.048437,4,106,0
Busclique,Pegasus,Complete,28,1,0.048075,4,106,0
Busclique,Pegasus,Complete,28,2,0.045283,4,106,0
Busclique,Pegasus,Complete,28,3,0.046099,4,106,0
Busclique,Pegasus,Complete,29,0,0.049794,4,110,0
Busclique,Pegasus,Complete,29,1,0.046651,4,110,0
Busclique,Pegasus,Complete,29,2,0.04742,4,110,0
Busclique,Pegasus,Complete,29,3,0.04993,4,110,0
Busclique,Pegasus,Complete,30,0,0.046803,4,114,0
Busclique,Pegasus,Complete,30,1,0.044865,4,114,0
Busclique,Pegasus,Complete,30,2,0.045797,4,114,0
Busclique,Pegasus,Complete,30,3,0.043715,4,114,0
Busclique,Pegasus,Complete,31,0,0.04673,5,150,0
Busclique,Pegasus,Complete,31,1,0.043253,5,150,0
Busclique,Pegasus,Complete,31,2,0.044115,5,150,0
Busclique,Pegasus,Complete,31,3,0.048492,5,150,0
Busclique,Pegasus,Complete,32,0,0.046789,5,154,0
Busclique,Pegasus,Complete,32,1,0.048628,5,154,0
Busclique,Pegasus,Complete,32,2,0.04555,5,154,0
Busclique,Pegasus,Complete,32,3,0.044548,5,154,0
Busclique,Pegasus,Complete,33,0,0.04688,5,159,0
Busclique,Pegasus,Complete,33,1,0.047653,5,159,0
Busclique,Pegasus,Complete,33,2,0.042738,5,159,0
Busclique,Pegasus,Complete,33,3,0.047665,5,159,0
Busclique,Pegasus,Complete,34,0,0.044682,5,164,0
Busclique,Pegasus,Complete,34,1,0.045845,5,164,0
Busclique,Pegasus,Complete,34,2,0.045202,5,164,0
Busclique,Pegasus,Complete,34,3,0.048226,5,164,0
Busclique,Pegasus,Complete,35,0,0.048501,5,168,0
Busclique,Pegasus,Complete,35,1,0.045825,5,168,0
Busclique,Pegasus,Complete,35,2,0.047938,5,168,0
Busclique,Pegasus,Complete,35,3,0.045778,5,168,0
Busclique,Pegasus,Complete,36,0,0.04899,5,172,0
Busclique,Pegasus,Complete,36,1,0.045474,5,172,0
Busclique,Pegasus,Complete,36,2,0.044855,5,172,0
Busclique,Pegasus,Complete,36,3,0.048637,5,172,0
Busclique,Pegasus,Complete,37,0,0.048811,5,177,0
Busclique,Pegasus,Complete,37,1,0.050278,5,177,0
Busclique,Pegasus,Complete,37,2,0.045865,5,177,0
Busclique,Pegasus,Complete,37,3,0.046283,5,177,0
Busclique,Pegasus,Complete,38,0,0.049063,5,182,0
Busclique,Pegasus,Complete,38,1,0.045414,5,182,0
Busclique,Pegasus,Complete,38,2,0.045141,5,182,0
Busclique,Pegasus,Complete,38,3,0.046287,5,182,0
Busclique,Pegasus,Complete,39,0,0.049735,5,187,0
Busclique,Pegasus,Complete,39,1,0.04383,5,187,0
Busclique,Pegasus,Complete,39,2,0.048234,5,187,0
Busclique,Pegasus,Complete,39,3,0.050165,5,187,0
Busclique,Pegasus,Complete,40,0,0.046797,5,192,0
Busclique,Pegasus,Complete,40,1,0.044877,5,192,0
Busclique,Pegasus,Complete,40,2,0.04339,5,192,0
Busclique,Pegasus,Complete,40,3,0.045493,5,192,0
Busclique,Pegasus,Complete,41,0,0.048471,5,197,0
Busclique,Pegasus,Complete,41,1,0.045215,5,197,0
Busclique,Pegasus,Complete,41,2,0.043806,5,197,0
Busclique,Pegasus,Complete,41,3,0.044716,5,197,0
Busclique,Pegasus,Complete,42,0,0.047821,5,202,0
Busclique,Pegasus,Complete,42,1,0.045346,5,202,0
Busclique,Pegasus,Complete,42,2,0.046175,5,202,0
Busclique,Pegasus,Complete,42,3,0.04589,5,202,0
Busclique,Pegasus,Complete,43,0,0.044722,6,251,0
Busclique,Pegasus,Complete,43,1,0.047037,6,251,0
Busclique,Pegasus,Complete,43,2,0.046337,6,251,0
Busclique,Pegasus,Complete,43,3,0.043275,6,251,0
Busclique,Pegasus,Complete,44,0,0.04375,6,256,0
Busclique,Pegasus,Complete,44,1,0.044033,6,256,0
Busclique,Pegasus,Complete,44,2,0.04747,6,256,0
Busclique,Pegasus,Complete,44,3,0.04824,6,256,0
Busclique,Pegasus,Complete,45,0,0.050305,6,262,0
Busclique,Pegasus,Complete,45,1,0.045007,6,262,0
Busclique,Pegasus,Complete,45,2,0.047796,6,262,0
Busclique,Pegasus,Complete,45,3,0.047563,6,262,0
Busclique,Pegasus,Complete,46,0,0.046117,6,268,0
Busclique,Pegasus,Complete,46,1,0.04672,6,268,0
Busclique,Pegasus,Complete,46,2,0.045168,6,268,0
Busclique,Pegasus,Complete,46,3,0.048491,6,268,0
Busclique,Pegasus,Complete,47,0,0.047721,6,273,0
Busclique,Pegasus,Complete,47,1,0.044996,6,273,0
Busclique,Pegasus,Complete,47,2,0.045099,6,273,0
Busclique,Pegasus,Complete,47,3,0.044419,6,273,0
Busclique,Pegasus,Complete,48,0,0.042334,6,278,0
Busclique,Pegasus,Complete,48,1,0.047502,6,278,0
Busclique,Pegasus,Complete,48,2,0.046372,6,278,0
Busclique,Pegasus,Complete,48,3,0.048542,6,278,0
Busclique,Pegasus,Complete,49,0,0.048031,6,284,0
Busclique,Pegasus,Complete,49,1,0.04615,6,284,0
Busclique,Pegasus,Complete,49,2,0.043418,6,284,0
Busclique,Pegasus,Complete,49,3,0.044991,6,284,0
Busclique,Pegasus,Complete,50,0,0.048562,6,290,0
Busclique,Pegasus,Complete,50,1,0.045176,6,290,0
Busclique,Pegasus,Complete,50,2,0.044747,6,290,0
Busclique,Pegasus,Complete,50,3,0.05192,6,290,0
Busclique,Pegasus,Complete,51,0,0.049499,6,296,0
Busclique,Pegasus,Complete,51,1,0.046083,6,296,0
Busclique,Pegasus,Complete,51,2,0.045081,6,296,0
Busclique,Pegasus,Complete,51,3,0.046152,6,296,0
Busclique,Pegasus,Complete,52,0,0.049981,6,302,0
Busclique,Pegasus,Complete,52,1,0.046727,6,302,0
Busclique,Pegasus,Complete,52,2,0.042424,6,302,0
Busclique,Pegasus,Complete,52,3,0.04333,6,302,0
Busclique,Pegasus,Complete,53,0,0.044524,6,308,0
Busclique,Pegasus,Complete,53,1,0.045642,6,308,0
Busclique,Pegasus,Complete,53,2,0.047139,6,308,0
Busclique,Pegasus,Complete,53,3,0.043347,6,308,0
Busclique,Pegasus,Complete,54,0,0.045698,6,314,0
Busclique,Pegasus,Complete,54,1,0.047409,6,314,0
Busclique,Pegasus,Complete,54,2,0.046199,6,314,0
Busclique,Pegasus,Complete,54,3,0.044972,6,314,0
Busclique,Pegasus,Complete,55,0,0.044508,7,376,0
Busclique,Pegasus,Complete,55,1,0.047357,7,376,0
Busclique,Pegasus,Complete,55,2,0.044928,7,376,0
Busclique,Pegasus,Complete,55,3,0.048266,7,376,0
Busclique,Pegasus,Complete,56,0,0.045447,7,382,0
Busclique,Pegasus,Complete,56,1,0.048106,7,382,0
Busclique,Pegasus,Complete,56,2,0.053592,7,382,0
Busclique,Pegasus,Complete,56,3,0.045041,7,382,0
Busclique,Pegasus,Complete,57,0,0.051039,7,389,0
