Algorithm,Topology,Node Yield,Graph Type,Degree,Run #,Time (s),Qubits,Maxchain Size,Fail/No Fail
Minorminer,Zephyr,0.75,Complete,60,4,66.843639,771,19,0
Minorminer,Zephyr,0.75,Complete,60,5,54.625497,748,18,0
Minorminer,Zephyr,0.75,Complete,60,6,88.822204,732,19,0
Minorminer,Zephyr,0.75,Complete,60,7,64.884766,808,21,0
Minorminer,Zephyr,0.75,Complete,60,8,77.776477,709,18,0
Minorminer,Zephyr,0.75,Complete,60,9,118.165149,664,17,0
Layout Aware [Migration],Zephyr,0.75,Complete,60,0,99.858657,669,17,0
Layout Aware [Migration],Zephyr,0.75,Complete,60,1,82.272485,758,18,0
Layout Aware [Migration],Zephyr,0.75,Complete,60,2,69.496973,673,17,0
Layout Aware [Migration],Zephyr,0.75,Complete,60,3,78.89937,754,19,0
Layout Aware [Migration],Zephyr,0.75,Complete,60,4,75.55382,770,20,0
Layout Aware [Migration],Zephyr,0.75,Complete,60,5,96.58768,703,18,0
Layout Aware [Migration],Zephyr,0.75,Complete,60,6,136.354826,728,18,0
Layout Aware [Migration],Zephyr,0.75,Complete,60,7,134.409158,629,15,0
Layout Aware [Migration],Zephyr,0.75,Complete,60,8,111.104203,640,16,0
Layout Aware [Migration],Zephyr,0.75,Complete,60,9,79.690104,680,16,0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,0,109.603413,630,16,0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,1,176.927883,644,15,0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,2,119.465929,742,17,0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,3,104.400184,673,16,0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,4,76.238199,674,17,0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,5,73.976483,773,19,0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,6,159.123101,649,16,0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,7,144.21134,739,17,0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,8,110.442252,701,18,0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,9,73.525705,792,19,0
Minorminer,Zephyr,0.6,Complete,60,0,154.242535,719,17,0
Minorminer,Zephyr,0.6,Complete,60,1,85.423136,776,19,0
Minorminer,Zephyr,0.6,Complete,60,2,73.238801,692,16,0
Minorminer,Zephyr,0.6,Complete,60,3,98.729886,774,18,0
Minorminer,Zephyr,0.6,Complete,60,4,95.755971,856,21,0
Minorminer,Zephyr,0.6,Complete,60,5,200.602897,760,19,0
Minorminer,Zephyr,0.6,Complete,60,6,67.874679,793,22,0
Minorminer,Zephyr,0.6,Complete,60,7,145.009916,698,16,0
Minorminer,Zephyr,0.6,Complete,60,8,84.405209,902,23,0
Minorminer,Zephyr,0.6,Complete,60,9,86.219852,809,21,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,0,147.847723,787,20,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,1,136.397598,744,19,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,2,81.762058,911,23,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,3,79.908452,875,21,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,4,114.855262,801,19,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,5,100.541082,887,23,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,6,96.518527,784,20,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,7,145.246701,722,19,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,8,86.409499,869,20,0
Layout Aware [Migration],Zephyr,0.6,Complete,60,9,114.896415,806,19,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,0,180.248826,794,18,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,1,71.200073,957,23,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,2,209.127555,721,18,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,3,67.840473,769,20,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,4,116.67027,723,17,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,5,200.142012,761,21,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,6,117.018806,869,22,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,7,118.192666,698,17,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,8,117.906853,776,18,0
Layout Aware [No Migration],Zephyr,0.6,Complete,60,9,117.370822,812,21,0
